target_id,LB_I_24H_5,LB_I_6H_3,LB_I_9H_3,DM_NI_48H_4,DM_I_48H_4,LB_NI_9H_4,LB_NI_6H_4,LB_NO_0H_1,DM_I_24H_2,DM_NI_24H_2,LB_I_48H_3,LB_NI_48H_5,LB_NI_24H_3,DM_NI_48H_5,LB_NI_3H_1,LB_I_6H_2,LB_I_24H_4,LB_I_9H_2,LB_NI_9H_5,LB_NI_6H_5,DM_I_48H_5,DM_I_24H_3,LB_I_48H_2,DM_NI_24H_3,LB_NI_48H_4,LB_NI_24H_2,LB_I_3H_5,LB_I_9H_1,LB_I_6H_1,LB_NI_3H_2,LB_I_48H_1,LB_NO_0H_3,LB_NI_24H_1,LB_I_3H_4,LB_NI_3H_3,DM_NI_24H_1,LB_NO_0H_2,DM_I_24H_1,LB_NO_0H_5,LB_NI_3H_4,LB_I_24H_1,LB_I_3H_3,LB_NI_48H_1,LB_NO_0H_4,LB_NI_3H_5,DM_NI_48H_1,DM_I_48H_1,LB_I_3H_2,LB_NI_6H_1,LB_NI_9H_1,LB_I_48H_5,DM_NI_24H_4,DM_I_24H_4,LB_NI_9H_2,LB_NI_6H_2,DM_I_48H_2,LB_I_3H_1,DM_NI_48H_2,LB_I_24H_3,LB_I_6H_5,LB_I_9H_5,LB_NI_24H_5,LB_NI_48H_3,DM_NI_24H_5,LB_I_48H_4,DM_I_24H_5,LB_NI_9H_3,LB_NI_6H_3,LB_I_6H_4,LB_I_24H_2,LB_I_9H_4,DM_NI_48H_3,LB_NI_24H_4,LB_NI_48H_2
I_6H_4_CKDL230008524-1A_H5HLYDSX7_L2_2_658311,0.0,1.08559,0.0,4.20216,9.56257,0.0,5.09095,9.80972,3.22715,2.18072,9.14046,20.5996,6.76858,9.11655,8.63935,3.20601,9.85972,13.8331,1.02022,1.03388,0.0,0.0,2.21291,6.11789,1.05254,2.97219,4.19558,10.462,1.40138,1.09574,5.44874,3.29101,1.37112,3.14303,5.18756,4.61498,12.1828,10.1809,29.5902,2.49029,7.76249,3.63913,5.10683,38.2376,4.22472,0.0,1.09005,0.0,3.49198,6.88783,2.15123,4.38674,8.89686,0.0,10.2622,0.0,12.4764,10.8678,2.13453,2.0674,4.23191,4.78506,2.18247,1.41251,6.40339,7.00464,0.0,1.19911,4.44577,3.10013,4.70778,2.08819,10.3542,6.46538
NI_6H_2_CKDL230008524-1A_H5HLYDSX7_L2_2_705863,7.90448,7.89152,4.02863,8.79205,9.42856,6.68547,0.0,24.9865,0.0,4.59711,9.43572,6.21925,17.5447,9.16905,20.4392,3.4918,8.34451,0.0,5.72757,4.50127,105.844,2.47823,16.1781,9.83421,0.0,10.5848,13.8114,4.976,12.1589,3.90538,18.8047,8.37594,2.45694,0.0,19.2333,8.33926,14.12,6.80612,16.8634,2.91691,26.4128,13.5094,19.04,68.46,5.85413,7.37285,5.80993,2.6061,9.37367,10.014,11.3292,18.0591,8.9632,15.0895,7.70559,14.3664,8.95366,8.53588,5.26325,5.89418,0.0,7.78655,17.3421,5.92865,3.11789,6.19423,25.4097,8.27802,3.44459,20.2132,10.1056,2.65465,5.74084,0.0
NI_6H_2_CKDL230008524-1A_H5HLYDSX7_L2_2_952473,1.06047,0.0,0.0,1.05054,1.1234,2.795,3.65212,12.426,3.47415,0.0,6.48477,5.7871,0.0,0.0,2.73407,0.0,0.0,0.0,0.0,0.0,3.1516,2.69036,6.55513,1.59346,0.0,0.0,0.524447,8.36962,1.40138,2.19149,3.576,5.38959,1.0973,0.0,0.0,2.09729,0.0,1.41001,2.19619,7.76811e-05,0.0,2.08485,1.20315,4.49898,0.0,0.0,1.09005,1.02939,2.04075,0.0,4.30247,1.4982,0.0,0.0,11.6991,1.14502,4.21953,1.31062,0.0,0.0,0.0,0.0,1.1702,0.0,1.06723,8.40032,0.0,1.04723,4.8854,0.0,2.17907,0.0,0.0,1.07756
NI_24H_5_CKDL230008524-1A_H5HLYDSX7_L2_2_846769,0.0,2.2366,1.06481,0.0,4.49746,0.0,11.2637,8.16055,5.18973,0.0,9.25247,1.88117,7.80311,0.0,0.0,7.20283,0.0,0.0012605,0.0,0.0,0.0,5.70547,6.53717,5.8129,0.0,0.0,0.0,1.57669,0.00771494,0.0,0.0,9.12042,0.0,0.0,15.8689,1.23536,30.2962,1.72044,0.0,1.34506,0.0,0.0,0.0,14.5119,2.7463,0.0,0.0,0.0,0.0,1.08043,1.2396,2.2019,2.29887,0.0,0.0,6.68708,1.09867,1.82682,0.0,1.03062,3.68461,1.44688,15.2895,0.0,4.84191,21.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.96829
NI_24H_5_CKDL230008524-1A_H5HLYDSX7_L2_2_135864,0.0,1.05989,0.0,2.0591,0.0,0.0,0.0,1.05503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02326,0.0,2.30169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03971,1.1491,0.0,0.0,1.04602,0.0,0.0,0.0,1.09925,0.0,0.0,0.0,0.0,2.1112,1.08814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2478,0.0,0.54115,0.0,0.0,2.03587,0.0,0.0,0.0,0.0,2.50229,0.0,0.0,0.0,0.0,0.0,0.0
NI_24H_5_CKDL230008524-1A_H5HLYDSX7_L2_2_55487,0.0,1.0498,0.0,0.0,0.0,0.0,0.0,0.0,4.11856,0.0,0.0,0.0,0.0,0.0,0.0,1.71927,0.0,0.0,0.0,0.0,0.0,0.0,1.51815,0.0,4.21018,0.0,0.0,0.0,0.0,0.0,1.99188,0.0,0.75037,2.66331,0.0,1.65397,4.77984,2.10639,0.0,0.0,0.0,0.0,3.55643,1.74238,0.0,0.0,0.0,0.0,7.81664,1.5306,2.99201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.92826,2.90218e-06,0.0,0.0,4.063,0.563657,0.0,0.0,0.0,0.0,0.0,0.0,1.27529
NI_3H_1_CKDL230008524-1A_H5HLYDSX7_L2_2_2085899,40.6869,55.5503,37.0217,39.1132,45.0143,52.0914,31.13,149.638,15.2853,15.6413,46.8112,71.8448,67.8566,53.6162,61.0428,32.4648,53.0679,26.0254,43.5067,59.7621,542.627,27.2916,64.2901,41.995,11.7151,25.6919,45.9721,37.5573,34.824,27.6454,57.4492,71.5994,31.4224,29.828,35.0574,24.1672,68.6245,78.1349,95.4587,41.5848,100.86,65.3746,68.467,200.435,37.7453,8.43339,40.1604,6.71538,18.6152,51.1621,39.1109,79.8016,30.5631,18.8949,34.3015,43.6133,55.8412,47.1092,39.1721,77.6773,72.9573,55.4801,72.8782,28.3871,36.6502,23.7278,17.706,31.8789,47.1497,90.671,32.8588,29.6545,36.8825,43.3697
NI_3H_1_CKDL230008524-1A_H5HLYDSX7_L2_2_1870628,84.6689,68.6819,57.7649,62.8351,70.4755,101.083,65.2295,250.377,56.9199,21.3567,81.349,88.9227,119.425,79.1939,103.097,53.5025,57.6919,42.7628,105.252,88.8866,1048.12,42.9607,101.133,55.2043,28.8876,59.3769,89.5676,79.7022,65.9057,81.8437,113.433,118.941,88.8122,22.6026,73.1522,24.2272,97.3712,92.5582,139.311,44.3351,137.238,102.099,147.463,350.348,52.2236,43.4766,55.0121,17.7281,30.0624,75.4238,93.647,77.5648,84.9972,58.9499,60.9234,46.3106,67.8638,61.5991,97.2883,92.6582,89.5093,98.4076,85.3919,24.7811,57.2216,30.8234,23.5744,77.7886,51.3617,95.336,38.4652,67.8385,58.9899,68.1874
NI_6H_1_CKDL230008524-1A_H5HLYDSX7_L2_2_322677,1.77936,0.0,0.0,0.0,3.565,2.32611,0.0,4.46239,7.45904,1.60651,1.6901,8.18483,0.0,2.13579,1.06405,1.67958,0.0,1.28357,0.509656,3.11479,0.356063,2.42791,2.4437,6.07732,0.0,0.0,0.526771,4.80621,0.0,0.0,0.00683416,0.623411,1.04725,0.0,1.63594,6.73322,0.0,2.57277,0.0,0.0,2.07575,2.75856,1.37673,8.66883,3.95317,1.85688,1.53778,0.0,4.15831,0.0,3.23135,0.0,6.3595,0.0,1.71154,1.03312,6.72228,6.91536,1.04769,0.0,6.92441,3.21697,0.0,0.0,0.0,2.4436,0.543289,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BL_3_CKDL230008524-1A_H5HLYDSX7_L2_2_447453,0.0,8.63819,10.2745,0.0,21.0081,62.2587,16.2595,30.5602,6.89533,2.55321,10.2242,16.6651,19.5557,0.0,29.0411,8.4834,29.9877,4.66625,16.2337,19.3105,102.535,0.0,0.0,6.59066,5.51056,7.47613,9.40965,8.12944,15.3886,4.47129,0.0,14.2752,26.3599,12.7101,9.5454,7.38628,0.0,6.05505,0.0,9.53837,19.7418,0.0,56.4915,35.6022,5.1915,4.38762,0.0,3.94854,4.3229,5.58315e-08,19.204,14.8318,28.948,10.9464,0.0,8.4227,20.4954,0.0,19.1215,6.29226,16.192,25.0222,10.7546,11.0089,0.0,7.75011,4.99916,0.000185631,4.50794,10.6009,5.29698,20.4499,11.9636,0.0
