target_id,LB_NO_0H_5,LB_I_3H_3,LB_NI_3H_4,LB_I_24H_1,LB_NI_48H_1,LB_NO_0H_4,LB_I_3H_2,DM_I_48H_1,LB_NI_9H_1,LB_NI_6H_1,DM_NI_48H_1,LB_NI_3H_5,DM_I_24H_4,LB_I_48H_5,DM_NI_24H_4,DM_NI_48H_2,LB_I_9H_5,LB_I_6H_5,LB_I_24H_3,LB_NI_6H_2,LB_NI_9H_2,LB_I_3H_1,DM_I_48H_2,LB_NI_24H_5,LB_NI_48H_3,DM_I_24H_5,DM_NI_24H_5,LB_I_48H_4,LB_I_9H_4,LB_I_24H_2,LB_I_6H_4,DM_NI_48H_3,LB_NI_6H_3,LB_NI_9H_3,LB_NI_24H_4,LB_NI_48H_2,DM_I_48H_4,LB_NI_6H_4,LB_NI_9H_4,LB_I_9H_3,LB_I_6H_3,LB_I_24H_5,DM_NI_48H_4,DM_NI_24H_2,LB_I_48H_3,DM_I_24H_2,LB_NO_0H_1,LB_NI_48H_5,LB_NI_24H_3,LB_NI_6H_5,LB_NI_9H_5,DM_I_48H_5,LB_NI_3H_1,DM_NI_48H_5,LB_I_9H_2,LB_I_24H_4,LB_I_6H_2,LB_I_48H_2,DM_NI_24H_3,DM_I_24H_3,LB_NI_48H_4,LB_NI_24H_2,LB_I_6H_1,LB_I_9H_1,LB_NI_3H_2,LB_I_3H_5,LB_NO_0H_3,LB_I_48H_1,LB_NI_24H_1,LB_NI_3H_3,LB_I_3H_4,DM_I_24H_1,LB_NO_0H_2,DM_NI_24H_1
I_9H_5_CKDL230008524-1A_H5HLYDSX7_L2_2_1204899,25.5072,20.5203,13.469,41.3347,46.4831,118.263,2.17285,11.9793,11.9762,2.10176,17.5751,8.25461,27.587,17.8623,17.3378,11.2071,32.5083,14.731,34.846,13.1102,8.47745,23.3222,18.8844,21.3078,16.0638,7.35028,13.0466,12.7323,6.49306,19.7702,17.1636,8.39986,26.3749,16.8557,14.6262,21.8657,13.5394,11.8402,24.3004,18.0935,13.8461,11.3576,12.8189,5.20155,16.7765,14.8377,53.6311,29.6038,22.7122,41.8915,2.54361,250.015,24.6924,36.3321,13.7384,28.2818,15.0786,28.3336,14.634,16.6343,7.30451,16.8158,21.7325,7.67623,11.7102,28.9375,20.8634,27.6485,11.0948,12.9137,10.6295,16.7925,26.0437,7.40616
I_6H_5_CKDL230008524-1A_H5HLYDSX7_L2_2_1071543,42.7779,60.3443,22.4359,43.595,77.0333,178.184,9.55923,24.2575,45.142,16.5777,15.6698,26.625,39.769,38.6273,38.9917,27.7295,29.0984,25.9741,37.3888,26.9336,44.1616,36.0798,45.9961,24.3631,19.7899,22.2496,18.6899,32.2206,24.196,29.669,12.9129,20.7321,41.1751,32.5975,26.2549,30.7447,35.1869,20.7365,87.837,67.2993,43.7826,27.4033,29.6784,17.684,34.6125,16.023,116.504,40.9606,30.4276,30.4085,50.5307,415.837,64.8986,32.2217,18.7556,27.1743,33.3668,47.0579,28.7586,21.6363,12.9696,44.7206,17.2945,35.8453,28.4586,52.5964,46.5878,55.6122,31.8545,43.1314,18.7676,59.1006,57.6538,17.1135
I_6H_4_CKDL230008524-1A_H5HLYDSX7_L2_2_908511,41.5279,48.1407,12.0713,103.973,69.4652,208.307,4.03992,24.3754,34.7039,11.5179,20.5894,0.0,34.1355,24.8791,18.8302,20.01,54.2938,61.8607,40.2397,24.0108,29.0461,30.9872,33.2806,3.76707e-07,34.1315,8.25659,3.72002e-07,26.8577,18.8233,0.0469839,0.0,23.8182,5.203,23.5609,28.3509,4.2432e-06,31.8235,16.8252,0.0,37.3097,55.5101,29.1557,16.668,13.4409,14.8928,12.5183,94.515,2.93334,57.4807,35.1166,32.2187,423.57,28.2785,32.7291,18.7061,40.9545,33.0165,49.7937,29.2847,0.0,17.7584,33.8616,27.0288,39.1251,21.0171,0.009767,65.5808,37.8716,57.197,27.0507,0.0,24.7577,46.4738,19.9023
NI_3H_1_CKDL230008524-1A_H5HLYDSX7_L2_2_409150,31.543,7.85063,14.6972,18.4123,25.5493,68.9933,4.0978,0.0,0.0,0.0,0.0,17.2012,20.7577,18.7244,22.4298,11.1599,33.3509,28.2362,31.3697,0.0,7.03177,22.9348,19.9467,31.9399,12.1697,19.0528,6.09649,19.9272,23.7215,0.0,7.771,0.0,0.0,17.6648,18.6883,11.2904,15.6394,21.1378,40.874,11.8946,21.3597,8.57189,35.7154,0.0,7.35029,0.0,48.206,7.16178,32.5301,0.0,18.5579,159.817,35.6282,34.4167,12.8721,0.0,12.675,18.7346,0.0,0.0,0.0,38.8056,17.7393,32.4606,4.96275,15.6369,13.5901,9.14457,30.8956,24.9428,0.0,0.0,51.0927,17.1957
I_6H_2_CKDL230008524-1A_H5HLYDSX7_L2_2_878310,37.435,21.6672,15.8749,44.4256,55.8745,125.405,0.0,27.3779,0.0,24.5154,9.5037,12.2372,43.2773,30.7901,14.1024,41.4559,31.7153,17.7736,21.5148,23.4327,34.9945,41.6973,27.4253,32.0718,22.5009,0.0,5.43,24.1525,16.9776,24.7957,20.3143,0.0,27.8585,7.28363,31.868,13.1449,42.1927,4.50564,56.1144,26.436,22.5925,26.5531,15.6598,0.0,31.419,12.0919,93.728,21.4981,42.6618,33.0376,7.31197,273.833,31.4583,28.0363,11.2525,31.7112,38.2047,41.6824,31.6275,4.44639,7.63632,0.0,22.1814,22.5982,17.9901,23.3889,23.1717,37.5813,47.0167,27.9595,7.89502,30.9137,40.6874,16.4756
I_9H_5_CKDL230008524-1A_H5HLYDSX7_L2_2_1101355,70.7241,71.5623,43.0993,99.0054,135.085,276.181,0.0,47.7571,70.7499,7.60705,30.4038,22.5218,51.458,44.2184,68.5073,38.1947,111.82,66.4042,60.8909,33.8772,68.492,61.7508,30.1019,58.4623,32.601,26.501,30.8013,50.5501,33.595,107.328,29.1793,45.7689,75.8174,37.1891,36.6865,69.7078,56.1905,51.4837,96.8895,41.0953,20.1775,32.1673,33.7698,24.5985,66.7554,49.4935,153.943,96.9223,73.1972,89.9371,43.6654,694.772,62.0827,72.2286,68.3295,68.9546,73.8794,83.9694,60.1716,31.0188,37.5841,64.5656,56.375,68.7977,49.4488,62.5089,57.535,80.0081,22.8918,70.658,14.246,68.1861,66.6626,19.7613
NI_48H_1_CKDL230008524-1A_H5HLYDSX7_L2_2_1422562,43.68,41.1288,13.1828,58.0577,75.9321,178.944,8.82079,23.732,14.587,19.4829,12.54,15.143,26.398,48.2587,31.1732,25.7827,73.5744,20.0485,59.3337,33.4073,22.2661,30.8386,43.3399,21.1486,26.7657,8.26338,17.5934,32.045,8.34975,32.4533,27.2004,17.5339,36.2023,15.8883,20.3421,18.6914,58.2947,20.9396,108.674,52.1131,15.016,38.7457,33.0915,11.3093,37.6059,13.4763,134.755,48.3867,47.4577,19.0916,10.664,385.997,46.0693,26.5085,10.0027,35.6892,17.8022,32.8614,27.2789,17.9252,14.5862,38.1632,20.9577,10.3902,31.7979,34.6072,31.6985,61.0069,26.9193,26.2347,14.7978,38.9399,29.6234,17.0498
DM_I_48H_4_CKDL230008524-1A_H5HLYDSX7_L2_2_1026431,7.5019,0.0,1.08638,0.0,3.15762,34.2759,0.0,0.0,2.07643,1.11219,0.0,0.0,4.24127,2.10728,1.04747,5.26222,0.0,0.0,1.02119,0.0,0.0,3.22746,1.03654,0.0,5.22004,4.55021,1.04439,1.04714,10.6422,4.05995,3.07934,0.0,2.04456,1.05263,2.06216,2.12049,0.0,1.07847,1.08067,1.03442,0.0,2.13593,1.03253,3.05417,2.24358,1.10215,12.3427,1.05393,2.29422,0.0,0.0,2.07051,9.36205,5.31742,1.03836,0.0,1.04141,2.11077,7.36691,1.03948,0.0,0.0,0.0,3.12175,0.0,0.0,1.08233,1.03255,0.0,0.0,1.03778,0.0,4.22714,9.32027
NI_3H_2_CKDL230008524-1A_H5HLYDSX7_L2_2_936082,56.4197,30.3459,23.8811,72.4098,94.0517,172.818,7.87644,23.7806,47.1741,26.129,16.8425,23.0251,26.9726,34.1985,38.4262,21.1001,50.8041,40.3402,45.3055,36.287,17.1317,34.9017,40.6032,33.4727,41.0538,23.8618,15.5686,27.5367,31.937,72.7099,13.0528,30.1411,13.7552,18.1276,11.5962,21.8067,29.2103,21.0684,60.7121,18.7305,24.5844,41.7968,28.4918,7.47522,34.6463,16.5852,93.0628,65.1542,78.9853,25.271,55.3467,537.796,51.6878,47.7216,13.2673,27.1348,38.9744,32.1177,26.5199,15.1327,12.9067,20.9066,26.5031,42.3529,24.4615,36.816,48.5003,37.7679,50.9266,39.108,14.6823,26.2455,53.5207,16.7557
I_9H_1_CKDL230008524-1A_H5HLYDSX7_L2_2_240988,38.6428,0.0,1.83152,102.45,3.34939,12.921,1.1295,0.0,1.08168,0.00242028,0.0,0.0,1.64822,2.06813,0.0,0.0,0.0,8.19759,1.03057,0.00178082,0.0,4.09919,0.0,2.08291,2.07394,4.28428,0.0,14.1171,0.0,2.07304,0.0,3.2047,0.0,0.0,0.0,0.0,5.8682,23.1798,0.0,114.574,1.02904,0.0269758,1.04286,0.0,1.04096,0.0,11.0553,1.50632,9.12683e-08,115.604,0.0,0.0,0.0,0.0,0.0,1.02417,0.0,1.91131,1.09493,1.64015,7.58771,42.6674,1.09303,0.0,3.87415,2.65467,2.26912,7.36281,141.274,0.0,3.66579,0.0,31.6601,0.0
