target_id,LB_NI_48H_3,LB_NI_24H_5,LB_I_3H_1,DM_I_48H_2,LB_NI_6H_2,LB_NI_9H_2,LB_I_9H_5,LB_I_6H_5,LB_I_24H_3,DM_NI_48H_2,DM_NI_24H_4,LB_I_48H_5,DM_I_24H_4,LB_NI_48H_2,LB_NI_24H_4,LB_NI_6H_3,LB_NI_9H_3,DM_NI_48H_3,LB_I_9H_4,LB_I_24H_2,LB_I_6H_4,LB_I_48H_4,DM_NI_24H_5,DM_I_24H_5,LB_NI_48H_1,LB_I_24H_1,LB_NI_3H_4,LB_I_3H_3,LB_NO_0H_5,DM_NI_48H_1,LB_NI_3H_5,LB_NI_9H_1,LB_NI_6H_1,LB_I_3H_2,DM_I_48H_1,LB_NO_0H_4,LB_NI_24H_1,LB_I_48H_1,LB_NO_0H_3,LB_I_3H_5,LB_NI_3H_2,LB_I_6H_1,LB_I_9H_1,DM_NI_24H_1,DM_I_24H_1,LB_NO_0H_2,LB_I_3H_4,LB_NI_3H_3,LB_NI_24H_3,LB_NI_48H_5,DM_I_24H_2,LB_NO_0H_1,LB_I_48H_3,DM_NI_24H_2,DM_NI_48H_4,LB_I_9H_3,LB_I_6H_3,LB_I_24H_5,LB_NI_6H_4,LB_NI_9H_4,DM_I_48H_4,LB_NI_24H_2,LB_NI_48H_4,DM_I_24H_3,DM_NI_24H_3,LB_I_48H_2,LB_I_9H_2,LB_I_24H_4,LB_I_6H_2,LB_NI_3H_1,DM_NI_48H_5,DM_I_48H_5,LB_NI_6H_5,LB_NI_9H_5
NI_3H_1_CKDL230008524-1A_H5HLYDSX7_L2_2_2210705,19.0087,3.79854,5.39927,7.26658,4.14877,10.0998,5.03878,18.2202,19.0678,6.27897,18.8656,16.3418,8.98103,11.1569,0.0,14.7893,12.3272,29.7987,7.84223,23.506,12.3324,10.2815,4.53154,5.30557,16.864,29.8946,9.25631,5.32891,3.63819,6.17581,8.24848,6.69257,0.0,1.35528,10.3987,61.4118,0.0,13.3611,8.18838,14.3514,8.28855,3.78009,24.8091,9.29896,9.86798,10.4903,11.9316,10.9714,11.1154,21.977,6.64329,31.4648,5.98969,3.07668,23.8971,3.49929,21.7779,0.0,3.89635,48.1049,14.9297,2.35326,3.61615,0.0,0.0,23.2775,7.72075,9.98623,12.4929,28.6987,20.4517,109.029,8.84496,6.33431
NI_3H_1_CKDL230008524-1A_H5HLYDSX7_L2_2_1884549,9.18326,12.2356,10.4923,5.35511,1.86048,8.31563,1.55289,1.5793,1.84925,9.61823,5.83686,4.70877,8.30504,4.74621,3.5636,6.03958,1.89922,6.30863,6.5159,11.0088,0.0,2.30949,0.0,7.52347,8.56209,18.2602,5.1893,13.2502,12.2945,8.00097,1.64756,6.30621,4.35255,0.0,0.0,38.824,9.58567,8.98123,6.58485,3.7485,3.76915,4.18789,6.59396,9.33754,1.7032,6.59801,0.0,0.0,8.11478,6.31098,2.0609,21.3111,3.93057,0.0,8.31081,7.46016,3.81241,6.52188,5.56685,15.004,5.00975,12.6536,1.49787,5.53117,7.44306,5.65048,4.89809,4.43532,3.62336,19.5483,5.09645,58.718,3.17207,11.6716
NI_48H_1_CKDL230008524-1A_H5HLYDSX7_L2_2_753306,1.33957,6.2105,2.61307e-06,0.0,1.14658,0.0444725,12.8136,6.29305,8.32257,0.352547,1.33867,0.0018693,1.7797e-06,0.0,0.0572572,4.90023,0.5307,0.0,0.639635,0.0701273,4.21131,1.05097,3.23063,0.170861,0.00180889,0.0,1.24491,2.08544,1.99578e-07,0.0,0.358015,7.48191,0.450496,0.0,3.0977e-08,31.1836,9.44299e-06,2.2676e-05,2.04571,1.79074,0.00985049,7.63583,0.0,2.08776,5.20804,2.1397,6.23876,4.19601,0.225047,0.486441,5.3533e-08,0.00978256,8.30213,0.0,3.15023,0.0,1.45516,5.23157e-08,0.0,18.8562,1.90424,0.0210128,0.0,0.479213,0.863226,5.80039,5.18991e-07,0.0,0.0,10.6376,0.0,37.523,0.00219848,0.0013276
NI_9H_2_CKDL230008524-1A_H5HLYDSX7_L2_2_776054,576.987,345.731,452.242,285.484,241.932,393.341,431.356,396.236,511.069,266.386,412.143,505.109,421.797,325.57,258.531,525.101,191.464,351.874,373.008,707.803,343.825,343.161,153.815,195.95,860.266,939.732,227.67,317.414,652.061,190.867,235.063,420.27,172.125,40.1981,281.087,1844.97,460.292,757.509,757.416,563.895,338.907,237.868,549.319,210.965,411.477,550.916,163.134,489.387,703.995,559.998,181.738,1238.77,483.653,124.317,342.897,279.45,303.165,422.866,321.996,563.88,487.11,384.803,145.413,201.178,302.279,493.087,252.312,469.015,379.986,661.043,412.693,3965.23,366.435,503.832
NI_24H_5_CKDL230008524-1A_H5HLYDSX7_L2_2_293525,44.8317,17.6118,37.5484,31.2333,24.4237,31.7767,21.9913,44.2557,33.1957,20.982,20.9418,45.7048,47.4711,21.8902,24.9426,35.9739,12.3326,37.7637,24.4492,42.3221,31.5462,26.071,2.61545,32.615,66.5476,65.6643,8.17087,51.7247,54.2086,20.4981,14.796,29.9011,24.296,6.11432,26.2991,151.556,38.5902,43.9386,48.4058,33.943,36.2311,26.9818,17.4589,16.8478,24.9119,45.0628,13.0072,39.3598,51.4093,36.1593,16.2519,117.552,47.7831,9.77299,36.8194,36.2233,40.9448,20.9078,36.8074,22.1735,48.8441,25.8315,9.17056,22.923,36.3844,44.1506,13.16,37.1314,36.17,68.9114,46.8116,455.252,33.1651,28.7161
NI_48H_2_CKDL230008524-1A_H5HLYDSX7_L2_2_1053901,2.32997,1.37069,0.0,0.0,3.46806,0.0,2.46972,1.07676,2.06691,1.13253,1.08278,0.0,2.27376,4.9306,0.0,0.0,0.0,1.24232,0.0,1.16923,0.0,2.11712,0.0,1.27316,1.33097,2.2872,0.0,2.30351,9.64489,0.0,0.0,2.1889,1.05895,2.0967,0.0,21.8193,0.0,2.15505,0.0,0.0,2.55593,1.04431,0.0,5.05643,3.69961,8.25906,0.0,6.42636,0.0,5.49497,1.14859,1.08826,3.62726,1.27027,0.0,0.0,1.08608,0.223406,1.05523,0.0,5.44725,6.45573,0.0,1.18852,11.0465,6.66918,0.0,0.0,1.14731,0.0,0.0,2.94441,1.11502,2.24082
NI_48H_2_CKDL230008524-1A_H5HLYDSX7_L2_2_719480,8.19413,6.10657,4.08548,10.2004,8.10921,9.2157,8.22893,11.2023,12.1888,8.23889,8.25266,12.1808,8.13009,5.05978,4.07933,3.05493,16.3315,3.05951,12.4273,9.15086,4.10801,4.87364,3.10196,1.01569,14.2842,21.4687,8.1083,7.59285,13.3875,2.04766,4.04774,9.29105,1.01909,0.0,5.12117,42.1798,15.6161,12.1741,14.1631,7.10719,6.11654,9.25235,3.04463,2.04241,11.1986,7.09527,3.06522,5.09554,16.3098,15.3778,2.03088,16.3063,2.04183,1.01553,5.10047,12.4049,8.16432,3.08904,4.06574,25.5211,4.05364,4.08983,8.14459,4.06174,9.11359,4.0814,6.08359,4.05369,12.3358,16.3207,9.14663,82.1082,11.2597,2.04499
NI_48H_2_CKDL230008524-1A_H5HLYDSX7_L2_2_730561,70.9453,97.6476,90.9666,85.353,48.0432,70.2433,78.6337,106.823,104.453,66.7584,91.3058,66.239,49.0056,62.9701,57.252,62.4923,44.3581,64.6498,51.0204,105.214,84.0081,76.2146,40.8311,53.538,181.354,176.626,43.9509,99.1704,107.921,25.2036,60.9941,75.428,34.7925,7.23225,48.8325,368.522,59.0802,102.157,114.579,90.7366,63.5363,53.5128,67.5903,39.0638,81.7352,96.057,26.2447,129.555,96.7928,76.2123,47.7061,236.606,82.8772,37.3626,73.1085,94.402,67.3302,81.8732,51.4122,195.982,82.7554,50.0641,32.7796,49.3587,60.9968,85.7242,44.6609,101.089,67.8584,105.272,75.8092,913.874,83.3875,69.2652
I_24H_5_CKDL230008524-1A_H5HLYDSX7_L2_2_688923,4.90552,3.7573,3.60363,2.45571,0.0,0.0,0.0,0.0,0.0,2.21962,0.0,3.55141,6.4709,3.50004,0.0,1.04712,0.0,7.5447,0.0,0.0,2.12425,0.0,0.0,0.0,4.18951,5.80555e-06,3.05521,1.69518,18.6293,0.0,1.65275,0.0,3.10544,0.0,1.03293,1.81394,0.0,0.0,1.05666,0.0,2.16307,16.6909,0.0,0.0,2.99483,9.91923,0.0,5.47523,0.0,8.96749,0.0,1.66712,7.89723,2.59908,0.0,0.148468,3.12703,0.0,4.5104,0.0,6.97938,0.530541,0.0,4.11236,2.19235,3.14036,0.0,1.12366,0.0,0.0,0.0,14.375,0.0,0.0
I_9H_3_CKDL230008524-1A_H5HLYDSX7_L2_2_804187,0.0,0.0,1.05327,0.0,2.09766,0.0,0.0,0.0,0.0,4.5259,3.2343,5.5904,2.23983,1.5767,0.0,0.0,0.0,0.0,0.0,0.0,3.03312,7.21454,0.940842,2.10816,0.0,9.36956,7.22769,0.0,1.11334,3.13927,0.0,1.08706,0.0,0.0,0.0,40.6437,0.0,0.0,0.0,5.64265,0.0,2.12674,0.0,1.16129,0.0,7.0102,0.0,0.0,0.0,13.365,11.8875,2.0934,1.06996,0.0,1.10275,0.0,0.0,0.0,0.0,0.0,2.06439,0.0,0.0,0.0,1.07913,0.0,0.0,1.12366,0.0,0.0,2.1721,0.0,0.0,0.0
NI_9H_4_CKDL230008524-1A_H5HLYDSX7_L2_2_1457616,41.6954,33.662,34.8049,33.9478,18.2858,11.3902,56.7349,35.7203,26.4756,38.2052,34.2531,23.4861,42.7657,32.4322,28.8326,34.5371,10.2254,31.421,22.1088,32.6138,15.533,39.9075,19.8905,22.3944,84.8789,81.1116,21.3234,50.5397,71.0496,14.5176,24.3121,32.5711,24.9792,8.2239,30.9709,171.673,14.6072,62.0004,62.1325,56.1339,33.7056,29.0344,26.5499,14.3226,37.8838,43.6482,16.3907,51.0683,39.4649,47.0077,18.2974,127.778,50.4929,15.2706,32.7289,14.5864,39.9079,52.1146,12.5448,75.4099,42.6433,36.0424,19.5474,22.3857,27.3972,47.0948,14.2224,33.631,36.4531,60.8686,52.9669,526.961,31.7888,38.0268
NI_48H_3_CKDL230008524-1A_H5HLYDSX7_L2_2_585210,19.2294,1.08085,0.0,1.18819,3.14305,0.0,1.07451,0.0,0.0,2.16063,6.54468,0.0,1.6608,5.2455,0.0,3.12749,0.0,0.0,0.0,0.0,0.0,0.0,1.06092,1.21882,3.62334,16.9838,0.0,1.05123,1.12479,5.47057,0.0,4.29078,1.02459,1.04847,2.1931,14.4891,1.01895,3.90742,0.0,0.0,0.0,0.0,1.0501,5.32951,1.06628,7.71616,0.0,0.0,2.54357,0.0,5.79525,4.17029,1.10636,0.0,1.06481,0.0,0.0,1.06972,5.12917,0.0,6.78476,0.0,1.27912,1.1032,6.78096,2.16554,0.0,2.80365,3.20349,4.83757,0.0,0.0,0.0,0.0
DM_I_48H_5_CKDL230008524-1A_H5HLYDSX7_L2_2_1216333,64.6415,68.1415,94.7269,62.0605,41.4054,79.928,81.5514,88.2351,78.9085,42.9454,90.4495,82.5383,84.1144,72.8965,63.6014,82.8511,37.4798,62.4111,49.5748,90.8707,56.0192,51.9458,31.289,52.6973,151.586,127.18,27.8474,96.7605,117.015,29.3346,58.7188,60.8481,18.1173,6.75738,34.6176,361.2,89.1667,108.35,101.954,83.81,61.5425,50.3714,43.8645,36.2366,68.092,128.94,43.4902,99.1538,66.3997,97.5172,40.2072,237.162,92.3811,31.8165,82.5302,50.7833,39.6642,58.1012,41.0125,114.303,77.9475,55.7935,39.346,33.1997,66.3313,69.3918,28.4398,46.3478,62.7883,107.336,82.1316,928.575,62.9132,90.7451
I_6H_3_CKDL230008524-1A_H5HLYDSX7_L2_2_684834,44.0475,32.0307,32.7879,26.4397,20.4572,7.14977,36.2712,39.8261,45.7545,22.8601,22.0594,24.3579,26.5367,34.7071,18.894,32.1044,24.0753,35.0048,11.8375,39.6403,30.3639,11.2214,10.2956,25.8968,72.8491,43.5901,22.7263,43.254,47.3189,19.2758,11.3831,28.468,9.92267,7.18949,30.0039,133.678,27.6662,46.9948,46.163,20.3765,25.7136,30.7581,15.5182,11.6955,39.9683,53.9156,15.5714,30.6926,80.5107,45.5706,17.1838,107.494,58.7421,3.85779,31.1715,18.0262,30.7148,39.4005,24.3896,55.035,25.8743,23.0016,12.8268,10.3786,15.6465,26.7848,19.9079,47.6384,24.6825,50.8429,32.569,331.165,36.5552,13.1209
I_6H_1_CKDL230008524-1A_H5HLYDSX7_L2_2_777972,16.1218,8.18846,10.9514,10.7416,13.7198,13.1015,0.0,14.1889,3.25181,11.4085,16.3146,3.70691,24.2475,13.5366,0.0,7.95318,0.0,5.93577,2.37147,0.0,1.82264,5.60209,7.84705,8.76941,17.8473,29.0743,2.25763,3.29539,11.088,3.38107,14.285,11.5817,2.0279,0.0,6.07341,55.0199,110.155,8.27108,11.4298,13.3303,5.45877,0.0,22.1697,8.28139,4.81257,12.711,0.0,8.79895,8.43455,10.2994,4.85397,29.3919,5.12467,0.0,10.8068,2.0244,4.02548,10.5071,20.7282,10.8114,13.6457,10.94,1.42662,3.43813,12.8613,5.94474,0.0,9.8736,10.8649,16.8016,3.55058,166.844,7.45599,0.0
NI_3H_3_CKDL230008524-1A_H5HLYDSX7_L2_2_906164,39.5067,36.1924,50.8071,26.4426,25.7511,57.2107,69.8597,73.4864,61.4643,56.4519,33.2744,64.8815,45.6294,34.6878,29.4044,42.8756,27.4619,19.5968,31.8863,77.4681,31.9117,33.8292,30.7877,25.7854,79.533,113.196,23.183,52.6579,56.2133,19.3371,12.9279,36.6318,17.8385,4.09238,32.8656,212.237,19.7383,63.9716,57.9473,63.1343,32.625,59.1445,25.1,16.1055,80.0973,48.8153,35.4388,49.866,34.0949,53.4631,29.5821,167.716,41.7542,13.4846,36.0433,65.8399,48.6189,46.3152,26.3912,59.004,30.28,37.97,16.7537,18.8947,40.7315,68.1814,17.9057,37.7631,42.2387,76.0203,49.3181,581.989,39.7338,112.594
NI_48H_2_CKDL230008524-1A_H5HLYDSX7_L2_2_219088,149.43,184.669,136.077,66.058,103.774,62.3254,205.029,164.178,160.515,134.394,113.871,145.527,140.778,150.342,98.0563,136.419,72.0709,112.176,55.3498,204.92,102.178,73.1399,74.4075,67.3138,248.008,214.124,74.0052,101.903,215.103,76.0214,64.5174,103.534,54.321,27.4126,87.4377,548.175,207.518,156.504,178.724,110.445,95.1398,114.611,117.348,60.123,143.986,149.105,73.3385,138.712,213.81,240.8,90.3842,454.686,164.679,37.2362,106.92,114.385,125.517,148.32,113.051,275.068,122.709,133.898,55.0077,72.5631,108.017,109.496,70.6563,122.177,106.884,182.314,128.006,1742.98,117.184,121.152
I_6H_4_CKDL230008524-1A_H5HLYDSX7_L2_2_60635,0.0,1.06741,3.11135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.16774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.145,0.0,0.0,0.0,0.0,1.06728,2.09022,1.08064,0.0,0.0,0.0,0.0,1.06694,0.0,0.0,0.0,25.3723,0.0,0.0,1.03664,0.0,1.02818,2.10973,0.0,0.0,0.0,0.0,0.0,1.02589,1.05536,0.0,0.0,0.0,0.0,0.0,0.0,1.02113,1.07251,6.3726,0.0,0.0,3.11836,2.09298,1.04736,0.0,1.05514,0.0,0.0,0.0,0.0,0.0
DM_I_48H_5_CKDL230008524-1A_H5HLYDSX7_L2_2_1441338,68.6353,60.9589,69.3137,53.1814,28.1981,63.8844,40.1689,40.9693,78.206,52.7773,36.4806,26.5317,29.5988,45.2693,44.312,31.3662,13.8809,32.4489,40.6889,58.3217,57.6539,45.4405,20.3752,34.0432,109.176,95.2867,29.2429,60.4058,59.591,16.9027,21.202,49.0451,19.8499,5.23767,46.3178,246.276,13.7017,58.7029,79.0054,49.2271,37.4975,49.6088,22.6471,25.2369,46.0595,68.87,36.1072,42.5729,68.163,42.5034,26.8127,163.138,61.9858,19.0746,41.5726,64.3462,39.4332,22.0025,39.313,51.8867,50.7319,34.2691,28.1719,34.3941,34.2539,59.7857,19.3057,37.4225,25.6482,91.5153,50.06,592.807,34.941,12.0752
