target_id,DM_I_24H_2,LB_NO_0H_1,DM_NI_24H_2,LB_I_48H_3,LB_I_9H_3,LB_I_6H_3,LB_I_24H_5,DM_NI_48H_4,DM_I_48H_4,LB_NI_6H_4,LB_NI_9H_4,LB_NI_24H_3,LB_NI_48H_5,DM_I_24H_3,LB_I_48H_2,DM_NI_24H_3,LB_NI_3H_1,DM_NI_48H_5,LB_I_9H_2,LB_I_24H_4,LB_I_6H_2,LB_NI_6H_5,LB_NI_9H_5,DM_I_48H_5,LB_NI_24H_2,LB_NI_48H_4,LB_I_48H_1,LB_NO_0H_3,LB_I_3H_5,LB_I_6H_1,LB_I_9H_1,LB_NI_3H_2,LB_NI_24H_1,DM_NI_24H_1,DM_I_24H_1,LB_NO_0H_2,LB_I_3H_4,LB_NI_3H_3,LB_NI_3H_4,LB_I_24H_1,LB_I_3H_3,LB_NO_0H_5,LB_NI_48H_1,DM_NI_48H_1,LB_NI_3H_5,LB_I_3H_2,DM_I_48H_1,LB_NI_9H_1,LB_NI_6H_1,LB_NO_0H_4,LB_NI_6H_2,LB_NI_9H_2,LB_I_3H_1,DM_I_48H_2,DM_NI_48H_2,LB_I_9H_5,LB_I_6H_5,LB_I_24H_3,LB_I_48H_5,DM_NI_24H_4,DM_I_24H_4,LB_NI_48H_3,LB_NI_24H_5,LB_NI_6H_3,LB_NI_9H_3,LB_I_9H_4,LB_I_24H_2,LB_I_6H_4,DM_NI_48H_3,DM_NI_24H_5,LB_I_48H_4,DM_I_24H_5,LB_NI_48H_2,LB_NI_24H_4
NI_24H_2_CKDL230008524-1A_H5HLYDSX7_L2_2_909243,11.5041,115.092,9.69611,59.8165,26.947,55.8858,43.1651,35.5511,39.9192,34.7146,94.9158,81.3658,44.1986,16.7217,54.233,42.4336,97.1439,35.9417,33.5081,38.9196,71.2123,33.7696,55.3467,103.194,40.6206,18.4421,73.7662,52.1081,34.9318,8.87267,31.3348,18.3087,29.2162,32.8771,45.1375,37.9745,7.96589,49.8568,24.7015,74.9052,39.2286,66.9198,78.2581,17.9206,23.4169,7.27986,29.8397,31.434,12.9295,194.476,28.5449,26.7615,46.7305,42.6625,49.2645,47.6926,41.5915,53.0167,68.951,36.9383,29.4668,47.941,43.9836,29.203,44.0256,35.4254,55.5115,35.8375,40.9186,19.4654,29.5804,19.3714,42.6645,33.4596
NI_3H_1_CKDL230008524-1A_H5HLYDSX7_L2_2_2210705,13.3615,74.7755,13.9973,46.5105,34.3698,43.8959,15.9791,30.3677,34.6002,16.9992,72.1972,53.5353,46.3914,15.862,36.2438,23.8546,65.8155,34.4607,21.1528,23.8049,28.3515,33.1634,37.2505,141.449,19.4038,4.29354,35.9912,22.3696,42.7868,14.3911,50.5378,19.9593,33.2577,17.7859,32.123,42.1351,17.9343,30.2019,10.3931,64.1017,33.3853,19.566,44.0505,7.67277,9.21661,6.3203,24.4078,22.8694,8.21345,127.814,21.0664,18.9039,45.1563,24.962,19.8241,21.7937,38.8021,45.1097,35.4561,32.1578,26.5868,24.2555,26.0794,26.3375,20.6526,29.6706,40.193,30.0843,31.6803,10.7184,19.8737,16.9241,27.8747,23.5489
NI_3H_1_CKDL230008524-1A_H5HLYDSX7_L2_2_1884549,27.7473,62.0696,9.34816,27.6361,33.0522,16.7585,16.2432,27.6595,34.214,24.5196,51.916,44.9257,41.2603,17.8323,23.8853,35.943,81.4888,26.9272,19.1826,34.9115,23.0809,33.22,33.8388,111.093,38.9264,17.4491,47.9058,30.0291,39.6077,21.279,31.0614,20.7836,70.8537,23.7301,35.5243,36.2512,10.8096,40.4027,29.0489,80.2272,46.2503,30.9535,53.339,16.1526,16.5618,3.47715,30.1198,47.4473,15.9753,131.678,17.6658,33.8364,44.3402,26.7422,31.9099,34.7572,37.1658,40.649,47.4548,46.0432,30.1377,50.1503,47.3146,26.3894,17.6595,25.1317,39.0942,32.889,26.3045,3.6573,13.8083,19.6977,43.0156,20.439
NI_48H_1_CKDL230008524-1A_H5HLYDSX7_L2_2_753306,8.86138,26.2188,5.16592,22.8575,14.2163,5.08909,12.3634,8.14514,12.6083,11.9484,26.9681,25.3087,18.1829,9.39539,20.2064,11.7479,28.7509,4.54949,12.3293,14.3571,10.8045,10.1994,11.6481,49.8487,10.5317,4.3505,16.9452,17.8095,4.73019,17.2551,14.8164,8.31947,23.4037,6.11911,21.0361,17.3102,12.5377,16.763,6.16484,32.3109,20.6725,25.9278,29.7574,4.21365,7.02312,1.07619,9.25864,19.8132,7.13987,55.7456,14.3847,9.4199,21.5063,6.2931,15.9772,19.3096,23.108,26.484,21.0758,15.1806,16.668,15.3727,22.3342,18.0325,34.3414,20.429,15.4219,15.1352,11.7984,7.53711,11.7645,4.67399,6.29772,14.8684
NI_9H_2_CKDL230008524-1A_H5HLYDSX7_L2_2_776054,258.489,1745.86,176.891,756.888,349.196,501.247,606.028,490.883,709.83,501.371,1037.11,1026.68,898.279,299.46,699.761,418.818,892.467,622.305,337.678,774.62,635.973,641.978,724.842,4709.56,543.742,241.691,1110.79,970.293,741.994,357.658,772.168,474.134,672.038,357.507,551.678,756.161,209.034,727.804,347.069,1402.8,479.606,1027.71,1174.46,237.505,348.428,72.7232,348.064,684.178,233.957,2706.58,369.966,556.803,623.134,437.514,420.361,711.748,661.247,736.974,777.02,637.219,629.238,761.418,544.987,722.776,341.253,567.998,982.432,463.021,457.455,203.934,500.754,307.385,524.259,447.309
NI_24H_5_CKDL230008524-1A_H5HLYDSX7_L2_2_293525,13.1983,119.433,12.2104,48.162,29.6809,50.8025,14.85,28.9954,42.6471,49.0653,72.1099,68.6553,36.4199,19.6159,33.3083,44.3377,68.9465,51.8937,19.9151,40.1575,28.4731,33.6881,57.2021,525.296,21.3975,14.3546,49.8366,61.1526,26.9732,32.0706,22.5771,37.9376,29.8874,24.1391,26.3352,51.1604,14.8258,39.1155,9.27756,78.202,54.4635,54.8516,54.8265,15.4633,13.9731,0.0,28.0706,30.84,25.8029,162.625,18.9733,38.7592,31.6156,25.5919,20.1934,34.2502,46.264,29.2925,33.316,31.6461,52.8925,49.3129,38.2905,34.3848,11.9432,18.6209,36.8856,33.5484,31.3538,1.80319,25.2622,26.4209,35.7512,18.531
NI_48H_2_CKDL230008524-1A_H5HLYDSX7_L2_2_1053901,15.5595,25.8106,3.51818,16.8578,17.5214,14.4027,20.2749,11.7683,21.47,13.5523,22.2262,23.0201,18.7144,9.2931,16.41,31.049,15.8742,8.99042,3.39475,21.8857,15.517,17.8783,24.7207,8.2346,17.2287,8.10039,19.4499,14.2821,5.55461,10.3202,11.5614,9.28044,16.3614,7.6709,25.5676,18.9325,0.0,22.8664,3.37924,26.4794,14.5558,25.3012,26.522,1.00059,7.05362,3.04343,7.16939,11.0896,9.91449,61.5891,8.33688,10.2709,15.4001,14.7828,7.94187,25.4895,7.16724,12.8442,13.4778,20.6134,13.3875,16.5006,16.1509,5.09574,8.7872,12.9247,10.5797,10.322,12.23,3.52039,11.6821,13.2953,12.8103,5.07182
NI_48H_2_CKDL230008524-1A_H5HLYDSX7_L2_2_719480,14.1983,54.0877,7.82299,20.4172,24.8434,21.4501,18.5495,12.2433,22.2718,13.2217,59.0816,39.1853,40.9384,15.2006,14.2843,23.6808,45.9643,34.5525,16.1904,25.2971,24.7175,26.6125,23.5092,89.3801,19.428,11.8095,31.436,31.029,22.3374,18.5816,17.2373,15.3131,59.2267,6.12937,27.4691,22.3115,10.2164,22.4252,14.1806,51.1198,13.7072,37.1963,41.6384,8.20695,6.06519,2.06173,16.4039,23.7533,4.07202,98.7152,20.2683,17.4178,21.4694,20.4101,21.6317,34.9752,22.4357,36.5275,44.5351,22.7418,18.2965,18.4696,17.2979,14.2525,30.5346,21.7311,31.5777,15.4202,13.5993,8.30189,17.9191,7.10567,20.0145,19.3883
NI_48H_2_CKDL230008524-1A_H5HLYDSX7_L2_2_730561,75.6502,381.241,55.83,144.622,149.941,117.612,112.823,116.993,147.132,80.903,310.825,202.433,140.925,83.7285,140.451,131.121,211.561,129.782,85.2513,137.881,132.925,150.474,158.328,1201.19,102.055,57.349,173.028,192.096,127.148,95.2784,149.087,120.571,151.139,63.7174,134.606,169.016,44.6549,191.169,69.036,286.019,150.142,200.915,274.959,45.8172,97.3232,12.4038,79.5862,119.402,56.2026,643.864,79.5112,106.484,152.959,121.751,123.465,171.144,180.8,167.836,115.084,151.74,96.9476,121.534,152.795,118.668,81.7278,89.8073,183.539,142.365,103.354,75.5197,118.949,84.3886,114.632,95.661
I_24H_5_CKDL230008524-1A_H5HLYDSX7_L2_2_688923,31.7551,104.76,15.297,84.7018,82.3256,44.6271,61.6924,46.6908,74.6949,37.1107,148.751,95.5503,105.958,31.2109,39.3257,66.8014,91.5726,38.1779,34.7329,50.9828,56.7842,37.7018,65.8294,10.5685,41.2664,27.4857,82.4338,56.8523,41.4393,42.1386,60.4327,39.9081,41.1804,39.8859,68.3649,60.2786,18.0947,66.8758,21.6567,97.1581,62.468,77.0299,72.8924,20.1654,33.5654,5.09644,35.0742,56.6939,25.2034,179.291,44.616,40.5397,57.8778,49.231,59.9142,49.3216,45.3964,65.5377,55.9251,47.7315,53.037,59.3678,54.7816,38.8115,27.6078,59.2551,61.5561,38.4278,32.2607,16.066,31.147,30.5932,56.734,57.3952
