target_id,DM_NI_24H_1,DM_I_24H_1,LB_NO_0H_2,LB_I_3H_4,LB_NI_3H_3,LB_NI_24H_1,LB_I_48H_1,LB_NO_0H_3,LB_I_3H_5,LB_NI_3H_2,LB_I_6H_1,LB_I_9H_1,LB_NI_24H_2,LB_NI_48H_4,DM_I_24H_3,DM_NI_24H_3,LB_I_48H_2,LB_I_9H_2,LB_I_24H_4,LB_I_6H_2,LB_NI_3H_1,DM_NI_48H_5,DM_I_48H_5,LB_NI_6H_5,LB_NI_9H_5,LB_NI_24H_3,LB_NI_48H_5,DM_I_24H_2,LB_NO_0H_1,LB_I_48H_3,DM_NI_24H_2,DM_NI_48H_4,LB_I_9H_3,LB_I_6H_3,LB_I_24H_5,LB_NI_6H_4,LB_NI_9H_4,DM_I_48H_4,LB_NI_48H_2,LB_NI_24H_4,LB_NI_6H_3,LB_NI_9H_3,DM_NI_48H_3,LB_I_9H_4,LB_I_24H_2,LB_I_6H_4,LB_I_48H_4,DM_NI_24H_5,DM_I_24H_5,LB_NI_48H_3,LB_NI_24H_5,LB_I_3H_1,DM_I_48H_2,LB_NI_6H_2,LB_NI_9H_2,LB_I_9H_5,LB_I_6H_5,LB_I_24H_3,DM_NI_48H_2,DM_NI_24H_4,LB_I_48H_5,DM_I_24H_4,DM_NI_48H_1,LB_NI_3H_5,LB_NI_9H_1,LB_NI_6H_1,LB_I_3H_2,DM_I_48H_1,LB_NO_0H_4,LB_NI_48H_1,LB_I_24H_1,LB_NI_3H_4,LB_I_3H_3,LB_NO_0H_5
NI_48H_2_CKDL230008524-1A_H5HLYDSX7_L2_2_232411,5.23728,0.0,8.57156,0.0,2.99676,4.302,0.0,1.82608,3.79255,0.552343,2.10863,0.0,1.04929,2.11834,5.18843,5.26765,2.14362,5.50535,1.16915,0.0,6.55315,1.12435,2.17981,0.0,2.04904,5.12204,5.43602,0.0,2.47684,8.83718,2.10282,0.0,0.0,0.0,0.0,0.0,1.13303,2.28574,4.52778,3.10011,1.04693,3.1616,0.0,5.20434,3.47051,2.06031,3.19324,4.30746,0.0,5.47799,0.0,0.0,1.56129,6.27637,1.52842,5.98757,2.79839,3.10967,13.6671,1.06399,4.35568,14.7072,4.17646,0.0,0.0,0.0,1.57799,1.57396,1.35156,1.43441,0.0,1.05552,3.21442,8.84543
NI_3H_4_CKDL230008524-1A_H5HLYDSX7_L2_2_822405,2.90896,9.47813,30.2643,6.14061,23.2781,9.23742,17.8683,16.2239,11.4808,24.7694,13.0319,20.0018,23.7835,8.46225,3.43737,12.51,12.4435,6.19074,11.5636,18.8295,23.6752,14.9976,150.415,16.0517,16.1741,9.14196,15.7165,13.4196,50.0498,17.9183,1.82195,6.73277,14.9363,31.1156,14.0239,15.6707,73.9667,18.8364,4.97693,8.02578,21.0421,9.70141,3.62162,6.4763,21.4398,10.7899,19.0142,9.13238,5.54394,8.85758,25.2191,31.0896,14.7752,11.9721,1.81142,30.8071,18.713,24.3387,16.2292,21.0534,24.8322,18.3119,6.08099,8.43328,8.0976,5.80995,0.0,14.6576,53.3951,13.3632,32.8287,5.69277,25.3494,25.9102
NI_48H_4_CKDL230008524-1A_H5HLYDSX7_L2_2_275724,37.8583,92.4591,75.1129,5.94719,74.6326,50.081,70.6823,63.5835,77.3973,55.9924,34.4624,86.9755,73.1019,29.4508,47.5615,41.0374,61.902,30.5711,69.1556,49.1966,118.175,73.0776,500.912,51.6443,124.362,63.9369,69.2101,29.2786,183.113,78.3522,21.2283,52.6367,43.8105,35.5345,50.499,38.3908,90.4284,63.3362,61.7963,57.0152,54.0233,43.9991,42.1421,35.4569,69.7917,41.6109,48.4381,28.2408,31.0139,46.8553,45.8647,64.6052,47.6295,73.0792,36.1076,68.2215,68.4412,70.0951,43.3653,84.8396,64.1744,65.6919,29.0485,44.1073,50.6604,19.2046,6.27,27.9993,261.228,129.854,123.606,42.2558,84.6151,86.6369
I_6H_4_CKDL230008524-1A_H5HLYDSX7_L2_2_61945,25.2966,31.774,40.2862,8.57062,54.381,27.915,44.4079,83.8922,40.6633,25.5659,30.4704,12.0648,46.4353,37.8916,18.7405,45.467,44.9698,14.8887,57.6035,21.8879,35.5348,47.8523,409.297,64.2158,56.0478,33.2037,59.1541,27.5049,178.999,56.2465,13.9269,20.0484,39.7021,54.0432,40.9553,37.6231,61.1165,46.3488,29.6916,35.9744,34.3,0.0,22.0951,32.0383,45.7552,21.3457,21.8315,17.4564,11.2476,17.7363,23.5705,58.366,11.0368,44.1674,20.1725,46.0286,35.1044,59.7407,56.1809,46.0548,64.0507,32.8324,16.7375,18.8007,20.3307,15.8896,14.0994,40.1036,225.029,97.4548,47.0461,30.5399,51.1414,75.6341
I_6H_1_CKDL230008524-1A_H5HLYDSX7_L2_2_418148,0.0,1.03762,1.09805,0.0,0.0,0.0,0.00417958,2.3504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02565,0.0,0.0,0.0,1.06229,0.0,14.5177,0.0,0.0,0.0,0.0,1.08776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.32462,0.0,0.0,1.40048,0.0,0.0,0.0,0.0,0.0
DM_I_24H_4_CKDL230008524-1A_H5HLYDSX7_L2_2_758926,32.5539,40.7666,52.6094,17.1428,44.2619,60.8316,50.3565,53.7976,36.69,27.9439,21.1862,41.8249,59.1188,15.7204,17.2851,37.3207,28.1537,10.1448,45.504,26.9205,52.237,56.6616,381.646,27.5351,85.3411,62.712,44.0532,32.0132,144.831,23.9485,12.865,17.818,41.2603,34.7988,42.4356,18.6647,81.8342,49.2103,24.2526,24.4817,30.8473,14.4298,22.9288,25.6548,48.0521,23.099,28.1936,21.8497,21.5768,48.421,54.8426,49.1057,30.4703,19.6505,28.2403,32.9751,30.882,58.9115,32.9621,30.7317,18.8224,47.553,13.2006,20.8096,18.6063,10.5884,5.18836,23.48,188.385,64.7422,103.909,20.6891,35.4408,45.094
NI_6H_3_CKDL230008524-1A_H5HLYDSX7_L2_2_1022093,41.6676,108.557,95.648,29.6123,95.0945,83.6905,129.688,129.861,102.811,69.8601,65.2383,63.678,72.9896,48.1656,48.4647,68.4808,88.6025,30.2601,103.369,76.6619,107.717,112.602,958.272,94.2391,144.562,114.24,130.692,27.8635,285.618,102.362,23.7325,77.1219,50.002,64.8144,85.7615,51.1582,182.327,73.146,74.8032,43.036,63.4057,58.2154,64.1823,67.1589,124.222,86.1003,73.9139,30.8334,42.8464,96.3654,82.7053,84.2967,61.9711,55.0686,65.292,106.876,80.0358,90.3114,73.0426,86.8234,71.6193,83.607,30.4191,60.2068,51.3066,29.4055,13.0802,52.2374,432.031,144.123,177.57,53.0385,87.7214,115.689
NI_48H_1_CKDL230008524-1A_H5HLYDSX7_L2_2_420981,94.8979,225.796,253.158,92.6062,251.502,183.579,285.22,284.37,264.034,173.839,141.679,220.619,198.996,82.0644,110.613,160.224,259.552,124.617,226.484,166.581,333.997,250.393,2453.25,184.311,216.62,316.056,229.929,115.896,683.753,217.567,64.461,169.115,189.533,167.823,217.866,176.701,420.121,196.977,189.466,152.915,196.112,99.7451,142.042,162.682,313.205,145.186,175.881,111.213,100.501,230.275,186.784,241.501,161.971,118.658,146.203,274.423,256.75,239.128,189.139,267.097,211.074,192.599,118.963,111.904,232.768,75.9106,33.2521,142.877,1073.51,372.557,447.879,123.408,207.232,380.171
I_6H_5_CKDL230008524-1A_H5HLYDSX7_L2_2_685368,0.0,7.7393,25.369,5.75908,39.4358,44.2892,34.1709,59.1254,23.5099,0.0,14.6847,6.34095,22.3138,0.0,21.6253,4.21409,24.9748,14.13,60.7958,28.6087,12.8338,13.6143,270.806,21.5745,92.6503,72.7027,17.5417,0.0,95.8022,39.2725,11.9134,7.20589,27.3187,10.3839,40.0764,14.5036,21.0886,21.107,32.2175,15.596,14.8687,40.8993,14.8807,14.8596,19.0972,0.0,5.66511e-08,25.5011,36.0258,47.8147,38.5868,40.462,0.0,18.5903,0.0,77.5878,14.7471,0.0,27.865,39.3726,38.9913,18.5838,21.2049,6.71642,21.6761,7.27484,1.75668,22.1877,112.833,72.67,42.0485,0.0,32.4839,47.5464
I_6H_2_CKDL230008524-1A_H5HLYDSX7_L2_2_756850,23.7572,53.9,76.8753,11.1284,45.7331,80.727,57.2738,56.266,33.809,45.2089,40.2835,71.2751,41.4193,7.82222,20.3542,46.5525,25.3989,46.0343,31.7242,37.1101,54.7953,46.7617,411.581,41.7328,44.4936,53.9184,56.2597,34.1142,107.206,49.7845,13.9168,33.4063,30.1118,41.0788,30.0342,25.7533,94.601,50.2617,31.9067,46.2202,34.448,29.9455,20.8492,26.8265,51.3664,22.4171,34.59,25.5992,25.0673,29.6212,53.1145,51.8244,48.8902,37.6488,70.0775,58.0753,27.7901,62.5859,28.5686,49.6909,36.6008,41.9553,17.3624,39.7183,25.0083,20.6405,9.82888,18.6579,171.192,49.6996,61.2279,14.3342,51.9468,58.4622
