target_id,LB_I_3H_4,LB_NI_3H_3,DM_NI_24H_1,LB_NO_0H_2,DM_I_24H_1,LB_NI_24H_1,LB_I_3H_5,LB_NI_3H_2,LB_I_9H_1,LB_I_6H_1,LB_I_48H_1,LB_NO_0H_3,LB_NI_48H_4,LB_NI_24H_2,LB_I_6H_2,LB_I_24H_4,LB_I_9H_2,DM_NI_48H_5,LB_NI_3H_1,DM_I_48H_5,LB_NI_9H_5,LB_NI_6H_5,DM_I_24H_3,DM_NI_24H_3,LB_I_48H_2,LB_NI_48H_5,LB_NI_24H_3,DM_NI_48H_4,LB_I_24H_5,LB_I_6H_3,LB_I_9H_3,LB_NI_9H_4,LB_NI_6H_4,DM_I_48H_4,LB_NO_0H_1,DM_I_24H_2,LB_I_48H_3,DM_NI_24H_2,LB_NI_24H_4,LB_NI_48H_2,LB_I_48H_4,DM_NI_24H_5,DM_I_24H_5,LB_NI_9H_3,LB_NI_6H_3,DM_NI_48H_3,LB_I_6H_4,LB_I_24H_2,LB_I_9H_4,LB_NI_24H_5,LB_NI_48H_3,DM_NI_24H_4,LB_I_48H_5,DM_I_24H_4,DM_I_48H_2,LB_I_3H_1,LB_NI_9H_2,LB_NI_6H_2,LB_I_24H_3,LB_I_6H_5,LB_I_9H_5,DM_NI_48H_2,LB_NO_0H_4,LB_NI_3H_5,DM_NI_48H_1,LB_NI_6H_1,LB_NI_9H_1,DM_I_48H_1,LB_I_3H_2,LB_NI_48H_1,LB_NO_0H_5,LB_I_24H_1,LB_NI_3H_4,LB_I_3H_3
NI_9H_4_CKDL230008524-1A_H5HLYDSX7_L2_2_163217,2.0,0.0,1.0,4.0,2.0,6.0,2.0,2.0,4.0,4.0,2.0,0.0,2.0,3.0,2.0,4.0,3.0,3.0,3.0,1.0,7.0,4.0,3.0,3.0,4.0,10.0,15.9375,4.0,3.0,2.0,4.0,14.0,2.0,7.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,3.0,4.0,1.0,1.0,2.0,0.0,4.0,4.0,4.0,1.0,2.0,3.0,3.0,4.0,3.0,0.0,4.0,2.0,6.0,2.0,7.0,0.0,0.0,1.0,7.0,1.0,0.0,7.0,0.0,8.74617,2.0,2.0
DM_I_48H_5_CKDL230008524-1A_H5HLYDSX7_L2_2_1741756,0.0,0.0,0.0,1.00455,1.01489,1.0063,2.0211,1.01979,1.00836,0.0,1.01098,0.0,2.0351,2.02713,1.00357,2.02851,2.01969,2.01941,4.02978,2.15552,2.02904,0.0,1.0,1.0,2.02466,3.03794,11.1642,0.0,1.00884,1.00761,1.01539,4.02476,1.0059,1.00447,0.0,1.00864,0.0,0.0,1.00315,0.0,0.0,2.00919,0.0,2.01185,2.02255,1.01387,1.01816,0.0,0.0,0.0,4.08682,1.02279,0.0,1.0137,1.02249,2.04497,1.00328,1.01545,0.0,0.0,1.01423,0.0,2.03167,1.00812,0.0,0.0,0.0,1.01254,0.0,3.04514,3.06923,4.03417,1.01108,0.0
I_9H_3_CKDL230008524-1A_H5HLYDSX7_L2_2_605400,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.00791,0.905583,0.0,0.0,0.0,0.0,0.0,2.0,1.02341,0.0,0.0,1.0,1.01218,0.0,1.0023,0.0,3.0,0.0,1.01705,0.0425889,0.0,1.00079,1.25,1.16834,0.0268338,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.04348,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.08174,1.00179,0.0,1.00378,0.0,2.00487,2.03261,1.00221,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01633,0.0,0.0
NI_24H_2_CKDL230008524-1A_H5HLYDSX7_L2_2_957508,0.0,1.00437,0.0,1.00637,3.04975,1.0063,2.02522,2.03958,0.0,0.0,0.0,1.01779,1.01755,1.01357,0.0,2.03255,1.01238,2.04244,1.00744,0.0,2.03832,0.0,1.0062,0.0,3.04418,0.506599,4.0671,0.0,0.0,0.0,1.01734,2.01495,0.0,2.01224,0.0,0.0,2.05025,1.00639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01816,0.0,0.0,0.0,0.0,0.0,3.0317,0.0,0.0,1.02248,0.0,1.01829,0.0,1.34788,2.03565,1.0176,1.27571,0.0,1.1024,0.0,0.0,0.0,0.0,0.0,0.0,1.17256,0.0,1.00782
NI_48H_3_CKDL230008524-1A_H5HLYDSX7_L2_2_1000340,0.0,1.0,0.0,0.0,0.0,0.0,1.04137,0.0,1.00191,0.0,1.0053,2.02586,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.503571,1.0,0.0,1.0,0.0,0.0,0.0,1.01018,1.0,0.0,0.0,2.0,0.0,0.0,1.00231,0.0,1.00394,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.00515,0.0,0.0,0.0,1.00876,0.0,0.0,0.0,1.0,1.00334,2.0,0.0
I_9H_5_CKDL230008524-1A_H5HLYDSX7_L2_2_1222992,2.0,0.0,1.0,5.0,6.0,9.0,4.0,3.7446,4.0,1.0,4.0,2.0,1.0,2.0,1.0,1.0,6.0,4.0,8.0,0.0,3.0,2.0,4.0,5.0,4.0,7.0,10.7692,2.0,2.0,3.0,4.0,11.0,0.0,3.0,2.0,0.0,6.0,0.0,2.0,3.0,2.0,2.0,1.49537,0.0,6.0,2.0,4.66111,2.0,4.0,4.0,7.0,2.0,8.0,5.0,2.0,7.0,4.0,2.0,3.0,1.0,6.85714,6.0,5.0,1.0,1.0,0.0,3.59748,2.0,2.0,3.0,1.0,8.60732,0.0,2.0
NI_24H_2_CKDL230008524-1A_H5HLYDSX7_L2_2_222132,0.0,1.00437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01336,1.00906,2.18877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.888547,0.0,0.0,0.0,0.0,0.0,0.0,1.00864,1.02512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0094,1.02425,2.01564
NI_24H_2_CKDL230008524-1A_H5HLYDSX7_L2_2_779116,0.0,0.0,0.0,0.0,0.0,0.7508,0.0,0.0,0.500955,0.0,0.0,0.0,0.0,0.503875,0.5,0.50099,0.0,1.5,0.339748,0.502157,0.0,1.0,0.0,0.209091,0.0,0.0,1.0,0.0,0.0,0.0,1.0488,0.809231,0.0,0.0,0.0,0.5,0.0,0.503571,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.09944,0.0,0.500894,0.0,0.501889,0.0,0.501217,0.00728947,1.60908,0.0,1.5,0.0,4.76958,0.0,0.0,0.0,0.385143,0.642468,0.0,0.0,6.43505e-05,2.15395,0.0,0.0
I_9H_2_CKDL230008524-1A_H5HLYDSX7_L2_2_946816,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4244,0.0,2.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.00191,2.0,0.0,3.00429,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,1.04348,0.0,0.0,1.0,0.0,1.0,1.0,4.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0,2.00256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.05161,0.0,0.0
BL_1_CKDL230008524-1A_H5HLYDSX7_L2_2_1561599,0.0,0.0,0.0,0.0,0.0,1.0063,0.0,0.0,1.00836,0.0,1.01372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01883,0.0,1.00186,2.02946,0.0,3.05185,0.0,1.01746,0.0,0.0,1.00966,1.01294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.02255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01782,0.0,0.0,1.00812,0.0,0.0,0.0,0.0,0.0,0.0,1.14072,1.0094,0.0,1.00782
